BASE_YM,MENU_CODE,MENU_NM,NTT_CNT,NTT_PER_AVRG_MENTN_CNT
202308,CNVNC_M02001,간장·마늘치킨,1551535,0.0022
202308,KOREA_M01001,간장·양념게장,1551535,0.0266
202308,KOREA_M01002,갈비찜·뼈찜,1551535,0.0073
202308,KOREA_M02001,갈비탕,1551535,0.0118
202308,KOREA_M02002,감자탕,1551535,0.0096
202308,CNVNC_M01001,감자튀김·사이드메뉴,1551535,0.0240
202308,BARFD_M01001,견과류,1551535,0.0001
202308,KOREA_M01003,계란찜·계란말이,1551535,0.0398
202308,CNVNC_M01002,고로케·소시지빵·피자빵,1551535,0.0062
202308,KOREA_M06001,고추장찌개·돼지찌개,1551535,0.0392
202308,BARFD_M01002,골뱅이,1551535,0.0052
202308,KOREA_M01004,곰장어 요리,1551535,0.0028
202308,KOREA_M05001,곱창·막창·내장부위,1551535,0.0452
202308,KOREA_M01005,공기밥·돌솥밥,1551535,0.0065
202308,BARFD_M01003,과일안주,1551535,0.0015
202308,KOREA_M02003,국·탕,1551535,0.0216
202308,KOREA_M02004,국밥,1551535,0.0103
202308,KOREA_M03001,국수·칼국수·수제비,1551535,0.1121
202308,KOREA_M01006,굴요리,1551535,0.0020
202308,FORGN_M01001,그라탕,1551535,0.0014
202308,KOREA_M05002,기타동물,1551535,0.0003
202308,CNVNC_M02002,기타시즈닝치킨,1551535,0.0535
202308,SNACK_M01001,김밥·주먹밥,1551535,0.0246
202308,KOREA_M06002,김치찌개·참치찌개,1551535,0.0266
202308,SPECL_M01001,나베·전골,1551535,0.0459
202308,KOREA_M01008,낙지·오징어·쭈꾸미 요리,1551535,0.0908
202308,KOREA_M05003,닭갈비,1551535,0.0208
202308,CNVNC_M01003,닭강정,1551535,0.0063
202308,KOREA_M05004,닭똥집·모래집,1551535,0.0019
202308,KOREA_M05005,닭발,1551535,0.0126
202308,KOREA_M05006,닭볶음탕,1551535,0.0146
202308,SPECL_M01002,덮밥,1551535,0.0343
202308,CNVNC_M01004,도넛·꽈배기,1551535,0.0138
202308,SPECL_M01003,도시락,1551535,0.0018
202308,SPECL_M01004,돈가스,1551535,0.0450
202308,FORGN_M01003,돈부리,1551535,0.0151
202308,FORGN_M01004,동남아음식,1551535,0.0077
202308,KOREA_M05007,돼지갈비·주물럭·양념고기,1551535,0.0316
202308,KOREA_M05008,돼지고기 구이,1551535,0.1585
202308,KOREA_M06003,된장찌개·청국장,1551535,0.0604
202308,SPECL_M01005,두부요리,1551535,0.0205
202308,CNVNC_M01005,떡·모찌,1551535,0.0458
202308,SNACK_M01002,떡볶이,1551535,0.0390
202308,DRINK_M01001,라떼류음료,1551535,0.0744
202308,DRINK_M01002,라떼류커피,1551535,0.0272
202308,SNACK_M01003,라면,1551535,0.0638
202308,FORGN_M01006,리소토·필라프,1551535,0.0226
202308,FORGN_M01007,마라탕,1551535,0.0153
202308,CNVNC_M01006,마카롱·와플·파이·타르트·카페디저트,1551535,0.0473
202308,ALCHL_M01003,막걸리,1551535,0.0222
202308,CNVNC_M01007,만두,1551535,0.0460
202308,KOREA_M02005,매운탕·해물탕,1551535,0.0221
202308,ALCHL_M01004,맥주,1551535,0.0112
202308,CNVNC_M01008,머핀·카스텔라,1551535,0.0063
202308,FORGN_M01008,멕시칸음식,1551535,0.0024
202308,SPECL_M01006,면류,1551535,0.0032
202308,KOREA_M03002,물냉면,1551535,0.0433
202308,KOREA_M01009,민물고기 요리,1551535,0.0021
202308,KOREA_M01010,민물장어 요리,1551535,0.0055
202308,SPECL_M01007,바닷가재·게요리,1551535,0.0301
202308,CNVNC_M02003,반반치킨,1551535,0.0006
